,index,0
1132,MEOTH,MERC
1133,SABLE,MERC
1134,TOPAZ,MERC
1135,TRACER,MERC
1136,VILLA,MERC
1137,MERCZEP,MERC
1138,COOPER,MINI
1139,COOPERCLUB,MINI
1140,COUNTRYMAN,MINI
1141,MINICOUPE,MINI
1142,MINIPACE,MINI
1143,COOPERROAD,MINI
1144,3000GT,MIT
1145,CORD,MIT
1146,DIAMAN,MIT
1147,ECLIP,MIT
1148,MITECLCROS,MIT
1149,ENDEAVOR,MIT
1150,MITEXP,MIT
1151,GALANT,MIT
1152,MITI,MIT
1153,LANCERMITS,MIT
1154,LANCEREVO,MIT
1155,MITPU,MIT
1156,MIRAGE,MIT
1157,MITMIRG4,MIT
1158,MONT,MIT
1159,MONTSPORT,MIT
1160,MITOTH,MIT
1161,OUTLANDER,MIT
1162,OUTLANDSPT,MIT
1163,PRECIS,MIT
1164,RAIDERMITS,MIT
1165,SIGMA,MIT
1166,MITSTAR,MIT
1167,TRED,MIT
1168,MITVAN,MIT
1169,NIS200SX,NISSAN
1170,240SX,NISSAN
1171,300ZXTURBO,NISSAN
1172,350Z,NISSAN
1173,370Z,NISSAN
1174,ALTIMA,NISSAN
1175,PATHARMADA,NISSAN
1176,AXXESS,NISSAN
1177,CUBE,NISSAN
1178,FRONTI,NISSAN
1179,GT-R,NISSAN
1180,JUKE,NISSAN
1181,NISKICKS,NISSAN
1182,LEAF,NISSAN
1183,MAX,NISSAN
1184,MURANO,NISSAN
1185,MURANOCROS,NISSAN
1186,NV,NISSAN
1187,NISNV200,NISSAN
1188,NX,NISSAN
1189,NISSOTH,NISSAN
1190,PATH,NISSAN
1191,NISPU,NISSAN
1192,PULSAR,NISSAN
1193,QUEST,NISSAN
1194,ROGUE,NISSAN
1195,NISROGSPT,NISSAN
1196,SENTRA,NISSAN
1197,STANZA,NISSAN
1198,TITAN,NISSAN
1199,NISVAN,NISSAN
1200,VERSA,NISSAN
1201,NISVERSNOT,NISSAN
1202,XTERRA,NISSAN
1203,88,OLDS
1204,ACHIEV,OLDS
1205,ALERO,OLDS
1206,AURORA,OLDS
1207,BRAV,OLDS
1208,CUCR,OLDS
1209,OLDCUS,OLDS
1210,OLDCALAIS,OLDS
1211,CIERA,OLDS
1212,CSUPR,OLDS
1213,OLDSFIR,OLDS
1214,INTRIG,OLDS
1215,98,OLDS
1216,OMEG,OLDS
1217,OLDOTH,OLDS
1218,REGEN,OLDS
1219,SILHO,OLDS
1220,TORO,OLDS
1221,ACC,PLYM
1222,ARROW,PLYM
1223,BREEZE,PLYM
1224,CARAVE,PLYM
1225,CHAMP,PLYM
1226,COLT,PLYM
1227,PLYMCONQ,PLYM
1228,GRANFURY,PLYM
1229,PLYMGRANV,PLYM
1230,HORI,PLYM
1231,LASER,PLYM
1232,NEON,PLYM
1233,PLYOTH,PLYM
1234,PROWLE,PLYM
1235,RELI,PLYM
1236,SAPPOROPLY,PLYM
1237,SCAMP,PLYM
1238,SUNDAN,PLYM
1239,TRAILDUST,PLYM
1240,TURISMO,PLYM
1241,VOYA,PLYM
1242,T-1000,PONT
1243,6000,PONT
1244,AZTEK,PONT
1245,BON,PONT
1246,CATALINA,PONT
1247,FIERO,PONT
1248,FBIRD,PONT
1249,G3,PONT
1250,G5,PONT
1251,G6,PONT
1252,G8,PONT
1253,GRNDAM,PONT
1254,GP,PONT
1255,GTO,PONT
1256,J2000,PONT
1257,LEMANS,PONT
1258,MONTANA,PONT
1259,PONOTH,PONT
1260,PARISI,PONT
1261,PHOENIX,PONT
1262,SAFARIPONT,PONT
1263,SOLSTICE,PONT
1264,SUNBIR,PONT
1265,SUNFIR,PONT
1266,TORRENT,PONT
1267,TS,PONT
1268,VIBE,PONT
1269,POR718BOX,POR
1270,POR718CAY,POR
1271,911,POR
1272,POR918SPYD,POR
1273,924,POR
1274,928,POR
1275,944,POR
1276,968,POR
1277,BOXSTE,POR
1278,CARRERAGT,POR
1279,CAYENNE,POR
1280,CAYMAN,POR
1281,PORMACAN,POR
1282,POROTH,POR
1283,PANAMERA,POR
1284,PORTAYCAN,POR
1285,RM1500,RAM
1286,RM2500,RAM
1287,RM3500,RAM
1288,RM4500,RAM
1289,RM5500,RAM
1290,RMCV,RAM
1291,RMPROMAST,RAM
1292,RMPROCITY,RAM
1293,CAMAR,RR
1294,CORN,RR
1295,RRCULLINAN,RR
1296,RRDAWN,RR
1297,GHOST,RR
1298,RROTH,RR
1299,PARKWARD,RR
1300,PHANT,RR
1301,DAWN,RR
1302,SILSERAPH,RR
1303,RRSPIR,RR
1304,SPUR,RR
1305,WRAI,RR
1306,9-2X,SAAB
1307,9-3,SAAB
1308,9-4X,SAAB
1309,9-5,SAAB
1310,97X,SAAB
1311,900,SAAB
1312,9000,SAAB
1313,SAOTH,SAAB
1314,ASTRA,SATURN
1315,AURA,SATURN
1316,ION,SATURN
1317,SATLSE,SATURN
1318,SATOTH,SATURN
1319,OUTLOOK,SATURN
1320,RELAY,SATURN
1321,SATSSE,SATURN
1322,SKY,SATURN
1323,VUE,SATURN
1324,SCIFRS,SCION
1325,SCIIA,SCION
1326,SCIIM,SCION
1327,IQ,SCION
1328,TC,SCION
1329,XA,SCION
1330,XB,SCION
1331,XD,SCION
1332,FORTWO,SMART
1333,SMOTH,SMART
1334,SUBASCENT,SUB
1335,BAJA,SUB
1336,BRAT,SUB
1337,SUBBRZ,SUB
1338,SUBCRSSTRK,SUB
1339,FOREST,SUB
1340,IMPREZ,SUB
1341,IMPWRX,SUB
1342,JUSTY,SUB
1343,SUBL,SUB
1344,LEGACY,SUB
1345,LOYALE,SUB
1346,SUBOTH,SUB
1347,SUBOUTBK,SUB
1348,SVX,SUB
1349,B9TRIBECA,SUB
1350,SUBWRX,SUB
1351,XT,SUB
1352,XVCRSSTREK,SUB
1353,AERIO,SUZUKI
1354,EQUATOR,SUZUKI
1355,ESTEEM,SUZUKI
1356,FORENZA,SUZUKI
1357,GRANDV,SUZUKI
1358,KIZASHI,SUZUKI
1359,SUZOTH,SUZUKI
1360,RENO,SUZUKI
1361,SAMUR,SUZUKI
1362,SIDE,SUZUKI
1363,SWIFT,SUZUKI
1364,SX4,SUZUKI
1365,VERONA,SUZUKI
1366,VITARA,SUZUKI
1367,X90,SUZUKI
1368,XL7,SUZUKI
1369,TESMOD3,TESLA
1370,TESMODS,TESLA
1371,TESMODX,TESLA
1372,TESMODY,TESLA
1373,ROADSTER,TESLA
1374,4RUN,TOYOTA
1375,TOY86,TOYOTA
1376,AVALON,TOYOTA
1377,TOYCHR,TOYOTA
1378,CAMRY,TOYOTA
1379,CELICA,TOYOTA
1380,COROL,TOYOTA
1381,CORONA,TOYOTA
1382,CRESS,TOYOTA
1383,ECHO,TOYOTA
1384,FJCRUIS,TOYOTA
1385,HIGHLANDER,TOYOTA
1386,LC,TOYOTA
1387,MATRIX,TOYOTA
1388,TOYMIRAI,TOYOTA
1389,MR2,TOYOTA
1390,MR2SPYDR,TOYOTA
1391,TOYOTH,TOYOTA
1392,PASEO,TOYOTA
1393,PICKUP,TOYOTA
1394,PREVIA,TOYOTA
1395,PRIUS,TOYOTA
1396,PRIUSC,TOYOTA
1397,TOYPRIPRM,TOYOTA
1398,PRIUSV,TOYOTA
1399,RAV4,TOYOTA
1400,SEQUOIA,TOYOTA
1401,SIENNA,TOYOTA
1402,SOLARA,TOYOTA
1403,STARLET,TOYOTA
1404,SUPRA,TOYOTA
1405,T100,TOYOTA
1406,TACOMA,TOYOTA
1407,TERCEL,TOYOTA
1408,TUNDRA,TOYOTA
1409,TOYVAN,TOYOTA
1410,VENZA,TOYOTA
1411,YARIS,TOYOTA
1412,VOLKSARTE,VOLKS
1413,VOLKSATL,VOLKS
1414,BEETLE,VOLKS
1415,VOLKSCAB,VOLKS
1416,CAB,VOLKS
1417,CC,VOLKS
1418,CORR,VOLKS
1419,DASHER,VOLKS
1420,VOLKSEGOLF,VOLKS
1421,EOS,VOLKS
1422,EUROVAN,VOLKS
1423,VOLKSFOX,VOLKS
1424,GOLF,VOLKS
1425,GOLFR,VOLKS
1426,GTI,VOLKS
1427,JET,VOLKS
1428,VWOTH,VOLKS
1429,PASS,VOLKS
1430,PHAETON,VOLKS
1431,RABBITPU,VOLKS
1432,QUAN,VOLKS
1433,R32,VOLKS
1434,RABBIT,VOLKS
1435,ROUTAN,VOLKS
1436,SCIR,VOLKS
1437,TIGUAN,VOLKS
1438,TOUAREG,VOLKS
1439,VANAG,VOLKS
1440,240,VOLVO
1441,260,VOLVO
1442,740,VOLVO
1443,760,VOLVO
1444,780,VOLVO
1445,850,VOLVO
1446,940,VOLVO
1447,960,VOLVO
1448,C30,VOLVO
1449,C70,VOLVO
1450,VOLOTH,VOLVO
1451,S40,VOLVO
1452,S60,VOLVO
1453,S70,VOLVO
1454,S80,VOLVO
1455,S90,VOLVO
1456,V40,VOLVO
1457,V50,VOLVO
1458,VOLVOV60,VOLVO
1459,V70,VOLVO
1460,V90,VOLVO
1461,VOLVOXC40,VOLVO
1462,XC60,VOLVO
1463,XC,VOLVO
1464,XC90,VOLVO
