,index,0
264,BMWX4,BMW
265,BMWX4M,BMW
266,X5,BMW
267,X5M,BMW
268,X6,BMW
269,X6M,BMW
270,BMWX7,BMW
271,Z3,BMW
272,Z4,BMW
273,Z8,BMW
274,BUGCHIRON,BUGATTI
275,BUGVEY,BUGATTI
276,BUICASCADA,BUICK
277,CENT,BUICK
278,ELEC,BUICK
279,ENCLAVE,BUICK
280,BUIENC,BUICK
281,BUIENCGX,BUICK
282,BUIENVISI,BUICK
283,LACROSSE,BUICK
284,LESA,BUICK
285,LUCERNE,BUICK
286,BUOTH,BUICK
287,PARK,BUICK
288,RAINIER,BUICK
289,REATTA,BUICK
290,REG,BUICK
291,RENDEZVOUS,BUICK
292,RIV,BUICK
293,BUICKROAD,BUICK
294,SKYH,BUICK
295,SKYL,BUICK
296,SOMER,BUICK
297,TERRAZA,BUICK
298,BUVERANO,BUICK
299,ALLANT,CAD
300,ATS,CAD
301,BROUGH,CAD
302,CATERA,CAD
303,CIMA,CAD
304,CADCT4,CAD
305,CADCT5,CAD
306,CADCT6,CAD
307,CTS,CAD
308,DEV,CAD
309,DTS,CAD
310,ELDO,CAD
311,CADELR,CAD
312,ESCALA,CAD
313,ESCALAESV,CAD
314,EXT,CAD
315,FLEE,CAD
316,CADOTH,CAD
317,SEV,CAD
318,SRX,CAD
319,STS,CAD
320,XLR,CAD
321,CADXT4,CAD
322,CADXT5,CAD
323,CADXT6,CAD
324,XTS,CAD
325,ASTRO,CHEV
326,AVALNCH,CHEV
327,AVEO,CHEV
328,AVEO5,CHEV
329,BERETT,CHEV
330,BLAZER,CHEV
331,CHEBOLT,CHEV
332,CHEVCK,CHEV
333,CAM,CHEV
334,CAP,CHEV
335,CHECAPS,CHEV
336,CAV,CHEV
337,CELE,CHEV
338,CHEVETTE,CHEV
339,CITATION,CHEV
340,CHECITYEXP,CHEV
341,COBALT,CHEV
342,COLORADO,CHEV
343,CORSI,CHEV
344,CORV,CHEV
345,CRUZE,CHEV
346,ELCAM,CHEV
347,EQUINOX,CHEV
348,CHEXP1500,CHEV
349,CHEXP2500,CHEV
350,CHEXP3500,CHEV
351,CHEXP4500,CHEV
352,CHEG10,CHEV
353,CHEG20,CHEV
354,CHEG30,CHEV
355,HHR,CHEV
356,CHEVIMP,CHEV
357,KODC4500,CHEV
358,LUMINA,CHEV
359,LAPV,CHEV
360,LUV,CHEV
361,MALI,CHEV
362,CHVMETR,CHEV
363,CHEVMONT,CHEV
